sample_id,sheet_id,iou,gt_pixels,pred_pixels,logit_max,centroid_distance_mask_px,centroid_distance_source_px,argmax_distance_mask_px,argmax_distance_source_px,class
train_K-35-51-B-a_3_000037,K-35-51-B-a,0.333333,8,4,23.5111,0.637,5.87,0.177,1.63,hit
train_K-35-51-B-a_3_000038,K-35-51-B-a,0.333333,6,2,35.1235,0.0,0.0,0.5,4.61,hit
train_K-35-51-B-a_3_000039,K-35-51-B-a,0.571429,7,4,46.6879,0.544,5.01,1.04,9.58,hit
train_K-35-51-B-a_3_000040,K-35-51-B-a,0.5,4,2,16.0012,0.5,4.61,0.707,6.51,hit
train_K-35-51-B-a_3_000041,K-35-51-B-a,0.428571,7,3,6.8582,0.768,7.07,1.04,9.58,hit
train_K-35-51-B-a_3_000042,K-35-51-B-a,0.454545,11,5,12.5248,0.392,3.62,0.203,1.87,hit
train_K-35-51-B-a_3_000043,K-35-51-B-a,0.333333,6,2,6.4863,0.707,6.51,0.5,4.61,hit
train_K-35-51-B-a_3_000044,K-35-51-B-a,0.75,4,3,9.282,0.236,2.17,0.707,6.51,hit
train_K-35-51-B-a_3_000045,K-35-51-B-a,0.5,6,3,19.0586,0.373,3.43,0.5,4.61,hit
train_K-35-51-B-a_3_000046,K-35-51-B-a,0.444444,5,8,52.1724,1.353,12.46,1.0,9.21,hit
train_K-35-51-B-a_3_000047,K-35-51-B-a,0.5,7,5,27.0958,0.492,4.53,1.04,9.58,hit
train_K-35-51-B-a_3_000048,K-35-51-B-a,0.0,7,3,6.9876,0.439,4.04,3.014,27.76,near_miss
train_K-35-51-B-a_3_000049,K-35-51-B-a,0.625,6,7,30.8553,0.31,2.86,0.85,7.83,hit
train_K-35-51-B-a_3_000050,K-35-51-B-a,0.25,4,6,9.5162,34.329,316.2,0.707,6.51,hit
train_K-35-51-B-a_3_000051,K-35-51-B-a,0.333333,6,2,16.3776,0.707,6.51,1.118,10.3,hit
train_K-35-51-B-a_3_000052,K-35-51-B-a,0.285714,6,3,11.8683,0.972,8.95,3.375,31.08,hit
train_K-35-51-B-a_3_000053,K-35-51-B-a,0.5,4,2,16.528,0.5,4.61,0.707,6.51,hit
train_K-35-51-B-a_3_000054,K-35-51-B-a,0.111111,6,4,4.313,1.677,15.45,3.041,28.01,hit
train_K-35-51-B-a_3_000055,K-35-51-B-a,0.4,2,5,13.9252,1.063,9.79,0.5,4.61,hit
train_K-35-51-B-a_3_000056,K-35-51-B-a,0.083333,6,7,36.0446,1.5,13.82,0.5,4.61,hit
train_K-35-51-B-a_4_000001,K-35-51-B-a,0.0,2,0,-2.7686,,,1.118,10.29,near_miss
train_K-35-51-B-a_4_000002,K-35-51-B-a,0.4,5,2,4.7803,0.5,4.6,0.894,8.23,hit
train_K-35-51-B-a_4_000003,K-35-51-B-a,0.666667,5,5,47.1927,0.447,4.12,0.447,4.12,hit
train_K-35-51-B-a_4_000004,K-35-51-B-a,0.5,5,4,26.0631,0.403,3.71,0.632,5.82,hit
train_K-35-51-B-a_4_000005,K-35-51-B-a,0.166667,5,2,13.3746,0.922,8.49,0.632,5.82,hit
train_K-35-51-B-a_4_000006,K-35-51-B-a,0.428571,6,4,13.2234,0.354,3.25,0.5,4.6,hit
train_K-35-51-B-a_4_000007,K-35-51-B-a,0.571429,4,7,42.8694,0.544,5.01,0.707,6.51,hit
train_K-35-51-B-a_4_000008,K-35-51-B-a,0.166667,6,1,0.7025,0.236,2.17,0.236,2.17,hit
train_K-35-51-B-a_4_000009,K-35-51-B-a,0.5,5,4,8.9776,0.461,4.24,0.894,8.23,hit
train_K-35-51-B-a_4_000010,K-35-51-B-a,0.0,7,2,3.7754,2.011,18.52,2.124,19.55,near_miss
train_K-35-51-B-a_4_000011,K-35-51-B-a,0.4,4,3,5.2388,0.85,7.82,0.707,6.51,hit
train_K-35-51-B-a_4_000012,K-35-51-B-a,0.125,7,2,4.7932,1.803,16.59,1.0,9.21,hit
train_K-35-51-B-a_4_000013,K-35-51-B-a,0.285714,6,3,11.89,0.687,6.33,1.118,10.29,hit
train_K-35-51-B-a_4_000014,K-35-51-B-a,0.428571,6,4,3.214,0.589,5.42,1.179,10.85,hit
train_K-35-51-B-a_4_000015,K-35-51-B-a,0.5,6,3,46.2552,0.373,3.43,0.5,4.6,hit
