arm,window_px,jitter_prompts,offset_px,direction,n,mean_abs_error_source_px,mean_gt_area_source_px,mean_iou,iou_ge_0_5_rate,zero_iou_rate,zero_prediction_rate
window512_gtprompt,512,False,100,SW,34,95.29411764705883,470.3529411764706,0.8226394411764706,1.0,0.0,0.0
window512_gtprompt,512,False,100,S,34,107.6470588235294,470.3529411764706,0.7989757647058823,1.0,0.0,0.0
window512_gtprompt,512,False,100,SE,34,99.6470588235294,471.4117647058824,0.8175057647058823,1.0,0.0,0.0
window512_gtprompt,512,False,200,E,34,89.29411764705883,470.11764705882354,0.8299850882352942,1.0,0.0,0.0
window512_gtprompt,512,False,200,NE,34,113.52941176470588,469.88235294117646,0.7876269411764706,1.0,0.0,0.0
window512_gtprompt,512,False,200,N,34,109.52941176470588,470.94117647058823,0.793287705882353,1.0,0.0,0.0
window512_gtprompt,512,False,200,NW,34,104.58823529411765,469.4117647058824,0.7958450294117647,1.0,0.0,0.0
window512_gtprompt,512,False,200,W,34,90.94117647058823,470.11764705882354,0.825017,1.0,0.0,0.0
window512_gtprompt,512,False,200,SW,34,91.41176470588235,470.5882352941176,0.8252374117647059,1.0,0.0,0.0
window512_gtprompt,512,False,200,S,34,100.58823529411765,469.7647058823529,0.8126303823529412,1.0,0.0,0.0
window512_gtprompt,512,False,200,SE,34,107.52941176470588,471.6470588235294,0.8031230882352941,1.0,0.0,0.0
window512_gtprompt,512,False,250,E,34,87.52941176470588,429.05882352941177,0.8111644117647059,1.0,0.0,0.0
window512_gtprompt,512,False,250,NE,34,103.88235294117646,469.88235294117646,0.8060094705882354,1.0,0.0,0.0
window512_gtprompt,512,False,250,N,34,87.76470588235294,381.1764705882353,0.7883903823529411,1.0,0.0,0.0
window512_gtprompt,512,False,250,NW,34,108.47058823529412,469.4117647058824,0.7857849705882353,1.0,0.0,0.0
window512_gtprompt,512,False,250,W,34,64.82352941176471,353.88235294117646,0.8282067647058824,1.0,0.0,0.0
window512_gtprompt,512,False,250,SW,34,97.76470588235294,470.5882352941176,0.8142719705882353,1.0,0.0,0.0
window512_gtprompt,512,False,250,S,34,91.29411764705883,411.88235294117646,0.7931567058823529,1.0,0.0,0.0
window512_gtprompt,512,False,250,SE,34,111.76470588235294,471.6470588235294,0.7975398235294118,1.0,0.0,0.0
