arm,window_px,jitter_prompts,offset_px,direction,n,mean_abs_error_source_px,mean_gt_area_source_px,mean_iou,iou_ge_0_5_rate,zero_iou_rate,zero_prediction_rate
window512,512,True,200,E,34,702.1176470588235,470.11764705882354,0.0,0.0,1.0,0.14705882352941177
window512,512,True,200,NE,34,705.5294117647059,469.88235294117646,0.0,0.0,1.0,0.058823529411764705
window512,512,True,200,N,34,705.4117647058823,470.94117647058823,0.0,0.0,1.0,0.0
window512,512,True,200,NW,34,717.6470588235294,469.4117647058824,0.0,0.0,1.0,0.0
window512,512,True,200,W,34,724.7058823529412,470.11764705882354,0.0,0.0,1.0,0.0
window512,512,True,200,SW,34,739.6470588235294,470.5882352941176,0.0,0.0,1.0,0.0
window512,512,True,200,S,34,741.5294117647059,469.7647058823529,0.0,0.0,1.0,0.0
window512,512,True,200,SE,34,712.5882352941177,471.6470588235294,0.0,0.0,1.0,0.058823529411764705
window512,512,True,250,E,34,625.5294117647059,429.05882352941177,0.0,0.0,1.0,0.23529411764705882
window512,512,True,250,NE,34,707.7647058823529,469.88235294117646,0.0,0.0,1.0,0.058823529411764705
window512,512,True,250,N,34,618.5882352941177,381.1764705882353,0.0,0.0,1.0,0.0
window512,512,True,250,NW,34,710.0,469.4117647058824,0.0,0.0,1.0,0.0
window512,512,True,250,W,34,614.9411764705883,353.88235294117646,0.0,0.0,1.0,0.0
window512,512,True,250,SW,34,714.7058823529412,470.5882352941176,0.0,0.0,1.0,0.0
window512,512,True,250,S,34,685.6470588235294,411.88235294117646,0.0,0.0,1.0,0.0
window512,512,True,250,SE,34,683.6470588235294,471.6470588235294,0.0,0.0,1.0,0.058823529411764705
window512,512,True,300,E,34,413.4117647058824,229.05882352941177,0.0,0.0,1.0,0.23529411764705882
window512,512,True,300,NE,34,657.7647058823529,470.70588235294116,0.0,0.0,1.0,0.17647058823529413
window512,512,True,300,N,34,332.2352941176471,120.58823529411765,0.0,0.0,1.0,0.029411764705882353
window512,512,True,300,NW,34,701.1764705882352,470.70588235294116,0.0,0.0,1.0,0.0
window512,512,True,300,W,34,323.05882352941177,43.05882352941177,0.0,0.0,1.0,0.0
window512,512,True,300,SW,34,719.2941176470588,469.52941176470586,0.0,0.0,1.0,0.0
window512,512,True,300,S,34,326.8235294117647,54.8235294117647,0.0,0.0,1.0,0.0
window512,512,True,300,SE,34,680.8235294117648,469.52941176470586,0.0,0.0,1.0,0.17647058823529413
