arm,window_px,jitter_prompts,offset_px,direction,n,mean_abs_error_source_px,mean_gt_area_source_px,mean_iou,iou_ge_0_5_rate,zero_iou_rate,zero_prediction_rate
fulltile,full_tile,True,250,SW,34,661.0852941176471,479.0470588235294,0.0,0.0,1.0,0.2647058823529412
fulltile,full_tile,True,250,S,34,711.3735294117647,479.0470588235294,0.0,0.0,1.0,0.23529411764705882
fulltile,full_tile,True,250,SE,34,651.4911764705882,479.0470588235294,0.0,0.0,1.0,0.08823529411764706
fulltile,full_tile,True,300,E,34,651.4911764705882,479.0470588235294,0.0,0.0,1.0,0.11764705882352941
fulltile,full_tile,True,300,NE,34,680.2176470588236,479.0470588235294,0.0,0.0,1.0,0.058823529411764705
fulltile,full_tile,True,300,N,34,677.8764705882353,479.0470588235294,0.0,0.0,1.0,0.058823529411764705
fulltile,full_tile,True,300,NW,34,692.2176470588236,479.0470588235294,0.0,0.0,1.0,0.029411764705882353
fulltile,full_tile,True,300,W,34,656.2882352941176,479.0470588235294,0.0,0.0,1.0,0.14705882352941177
fulltile,full_tile,True,300,SW,34,725.6970588235295,479.0470588235294,0.0,0.0,1.0,0.17647058823529413
fulltile,full_tile,True,300,S,34,713.7529411764706,479.0470588235294,0.0,0.0,1.0,0.058823529411764705
fulltile,full_tile,True,300,SE,34,687.4294117647058,479.0470588235294,0.0,0.0,1.0,0.11764705882352941
